nom_prot regne type milieu
AcamarTOPa_M_B B TOP M 
AcamarTOPb_M_B B TOP M 
AccphoTOPz_X_B B TOP X 
AcearaTOPz_X_B B TOP X 
AcepasTOPz_X_B B TOP X 
AcewooTOPz_X_B B TOP X 
AchlaiTOPz_M_B B TOP M 
AchxylTOPa_X_B B TOP X 
AchxylTOPb_X_B B TOP X 
AciaveTOPz_X_B B TOP X 
AcibauTOPz_X_B B TOP X 
AcibayTOPz_X_B B TOP X 
AcibooRGz_T_A A RG T 
AcibooTOPz_T_A A TOP T 
AcalE1TOPa_X_B B TOP X 
AcalE1TOPb_X_B B TOP X 
AcalE1TOPc_X_B B TOP X 
AcicalTOPz_X_B B TOP X 
AcicapTOPz_M_B B TOP M 
AcicelTOPz_T_B B TOP T 
AcicitTOPa_M_B B TOP M 
AcicitTOPb_M_B B TOP M 
AcicryTOPz_M_B B TOP M 
AciebrTOPz_M_B B TOP M 
AferE1TOPa_M_B B TOP M 
AcerE1TOPb_M_B B TOP M 
AferE1TOPc_M_B B TOP M 
AferE2TOPz_M_B B TOP M 
AferE3TOPa_X_B B TOP X 
AferE3TOPb_X_B B TOP X 
AferE3TOPc_X_B B TOP X 
AciferTOPz_T_B B TOP T 
AcihosRGa_X_A A RG X 
AcihosRGb_X_A A RG X 
AcihosTOPz_X_A A TOP X 
AciintTOPz_X_B B TOP X 
AcimulTOPz_X_B B TOP X 
AcioleTOPz_X_B B TOP X 
AcisacRGz_T_A A RG T 
AcisacTOPz_T_A A TOP T 
Aci.E1TOPa_M_B B TOP M 
Aci.E1TOPb_M_B B TOP M 
Aci.E1TOPc_M_B B TOP M 
Aci.E1TOPd_M_B B TOP M 
Acisp.TOPa_X_B B TOP X 
Acisp.TOPb_X_B B TOP X 
ActmirTOPz_M_B B TOP M 
ActpleTOPa_X_B B TOP X 
ActpleTOPb_X_B B TOP X 
Actsp.TOPz_X_B B TOP X 
ActsucTOPa_M_B B TOP M 
ActsucTOPb_M_B B TOP M 
AerhydTOPa_X_B B TOP X 
AerhydTOPb_X_B B TOP X 
AerperTOPa_T_A A TOP T 
AerperTOPb_T_A A TOP T 
AerperTOPc_T_A A TOP T 
AersalTOPa_M_B B TOP M 
AersalTOPb_M_B B TOP M 
AeruriTOPz_M_B B TOP M 
AerverTOPa_X_B B TOP X 
AerverTOPb_X_B B TOP X 
AggactTOPa_X_B B TOP X 
AggactTOPb_X_B B TOP X 
AggaphTOPa_X_B B TOP X 
AggaphTOPb_X_B B TOP X 
AgrradTOPz_M_B B TOP M 
Agrsp.TOPz_X_B B TOP X 
AgrtumTOPz_X_B B TOP X 
AgrvitTOPz_M_B B TOP M 
AkkmucTOPz_M_B B TOP M 
AlcborTOPz_M_B B TOP M 
AliaciTOPz_T_B B TOP T 
AlidenTOPa_X_B B TOP X 
AlidenTOPb_X_B B TOP X 
AlisalTOPa_P_B B TOP P 
AlisalTOPb_P_B B TOP P 
AlishaTOPa_M_B B TOP M 
AlishaTOPb_M_B B TOP M 
AlishaTOPc_M_B B TOP M 
AlkehrTOPz_X_B B TOP X 
AlkmetTOPa_M_B B TOP M 
AlkmetTOPb_M_B B TOP M 
AlkmetTOPc_M_B B TOP M 
AlkoreTOPa_M_B B TOP M 
AlkoreTOPb_M_B B TOP M 
AlkoreTOPc_M_B B TOP M 
AllvinTOPz_M_B B TOP M 
Altsp.TOPz_X_B B TOP X 
AmicolTOPz_M_B B TOP M 
AmmdegRGz_T_B B RG T 
AmmdegTOPz_T_B B TOP T 
AmymedTOPz_M_B B TOP M 
AmysubTOPz_X_B B TOP X 
AnacenTOPz_M_B B TOP M 
AnadehTOPz_M_B B TOP M 
AnamarTOPz_X_B B TOP X 
AnaphaTOPz_M_B B TOP M 
AnapreTOPz_X_B B TOP X 
Anasp.TOPz_X_B B TOP X 
AnatheTOPz_X_B B TOP X 
AnavarTOPa_X_B B TOP X 
AnavarTOPb_X_B B TOP X 
AnoflaTOPa_T_B B TOP T 
AnoflaTOPb_T_B B TOP T 
AquaeoTOPa_T_B B TOP T 
AquaeoTOPb_T_B B TOP T 
AquaeoTOPc_T_B B TOP T 
ArathaTOPa_X_E E TOP X 
ArathaTOPb_X_E E TOP X 
ArcbutTOPz_X_B B TOP X 
ArcfulTOPa_T_A A TOP T 
ArcfulTOPb_T_A A TOP T 
ArchaeTOPz_M_B B TOP M 
ArcnitTOPz_M_B B TOP M 
ArcproRGz_T_A A RG T 
ArcproTOPz_T_A A TOP T 
Arcsp.TOPz_X_B B TOP X 
ArcvenRGz_T_A A RG T 
ArcvenTOPz_T_A A TOP T 
AroaroTOPa_M_B B TOP M 
AroaroTOPb_M_B B TOP M 
ArtariTOPz_X_B B TOP X 
ArtaurTOPz_M_B B TOP M 
ArtchlTOPz_M_B B TOP M 
ArtpheTOPz_M_B B TOP M 
ArtplaTOPz_X_B B TOP X 
ArtE1.TOPz_M_B B TOP M 
Artsp.TOPz_X_B B TOP X 
AstexcTOPz_M_B B TOP M 
AstyelTOPz_M_B B TOP M 
AtethaTOPz_X_B B TOP X 
AtoparTOPz_M_B B TOP M 
AzobraTOPz_X_B B TOP X 
AzocauTOPz_X_B B TOP X 
AzolipTOPa_M_B B TOP M 
AzolipTOPb_M_B B TOP M 
AzooryTOPa_X_B B TOP X 
AzooryTOPb_X_B B TOP X 
AzopseTOPz_X_B B TOP X 
AzoE1.TOPa_M_B B TOP M 
AzoE1.TOPb_M_B B TOP M 
Azosp.TOPz_M_B B TOP M 
AzovinTOPa_M_B B TOP M 
AzovinTOPb_M_B B TOP M 
BacamyTOPa_X_B B TOP X 
BacamyTOPb_X_B B TOP X 
BantE1TOPa_X_B B TOP X 
BantE1TOPb_X_B B TOP X 
BantE1TOPc_X_B B TOP X 
BacantTOPa_X_B B TOP X 
BacantTOPb_X_B B TOP X 
BacantTOPc_X_B B TOP X 
BacatrTOPa_X_B B TOP X 
BacatrTOPb_X_B B TOP X 
BaccelTOPa_M_B B TOP M 
BaccelTOPb_M_B B TOP M 
BaccelTOPc_M_B B TOP M 
BaccerTOPa_X_B B TOP X 
BaccerTOPb_X_B B TOP X 
BacclaTOPa_M_B B TOP M 
BacclaTOPb_M_B B TOP M 
BaccoaTOPa_X_B B TOP X 
BaccoaTOPb_X_B B TOP X 
BaccoaTOPc_X_B B TOP X 
BacfraTOPa_X_B B TOP X 
BacfraTOPb_X_B B TOP X 
BacfraTOPc_X_B B TOP X 
BachalTOPa_M_B B TOP M 
BachalTOPb_M_B B TOP M 
BachelTOPa_M_B B TOP M 
BachelTOPb_M_B B TOP M 
BachelTOPc_M_B B TOP M 
BaclicTOPa_M_B B TOP M 
BaclicTOPb_M_B B TOP M 
BacmarTOPz_X_B B TOP X 
BacmegTOPa_X_B B TOP X 
BacmegTOPb_X_B B TOP X 
BacmegTOPc_X_B B TOP X 
BacmycTOPa_X_B B TOP X 
BacmycTOPb_X_B B TOP X 
BacmycTOPc_X_B B TOP X 
BpseE1TOPa_M_B B TOP M 
BpseE1TOPb_M_B B TOP M 
BpseE1TOPc_M_B B TOP M 
BacpseTOPa_M_B B TOP M 
BacpseTOPb_M_B B TOP M 
BacpseTOPc_M_B B TOP M 
BacpumTOPa_M_B B TOP M 
BacpumTOPb_M_B B TOP M 
BacsalTOPa_M_B B TOP M 
BacsalTOPb_M_B B TOP M 
BacsalTOPc_M_B B TOP M 
BacsalTOPd_M_B B TOP M 
BacsalTOPe_M_B B TOP M 
BacselTOPa_M_B B TOP M 
BacselTOPb_M_B B TOP M 
BacsubTOPa_X_B B TOP X 
BacsubTOPb_X_B B TOP X 
BactheTOPa_M_B B TOP M 
BactheTOPb_M_B B TOP M 
BactheTOPc_M_B B TOP M 
BactheTOPd_M_B B TOP M 
BactheTOPe_M_B B TOP M 
BacthuTOPa_X_B B TOP X 
BacthuTOPb_X_B B TOP X 
BacvulTOPa_M_B B TOP M 
BacvulTOPb_M_B B TOP M 
BacvulTOPc_M_B B TOP M 
BacvulTOPd_M_B B TOP M 
BacweiTOPa_X_B B TOP X 
BacweiTOPb_X_B B TOP X 
BacweiTOPc_X_B B TOP X 
BacxylTOPa_M_B B TOP M 
BacxylTOPb_M_B B TOP M 
BacxylTOPc_M_B B TOP M 
BacxylTOPd_M_B B TOP M 
BarbacTOPz_M_B B TOP M 
BarclaTOPz_X_B B TOP X 
BargraTOPz_M_B B TOP M 
BarhenTOPz_M_B B TOP M 
BarquiTOPz_M_B B TOP M 
BartriTOPz_M_B B TOP M 
BaucicTOPz_X_B B TOP X 
BdebacTOPz_X_B B TOP X 
BeiindTOPz_M_B B TOP M 
BeucavTOPz_M_B B TOP M 
BifadoTOPz_M_B B TOP M 
BifaniTOPz_X_B B TOP X 
BifbifTOPz_X_B B TOP X 
BifbreTOPa_X_B B TOP X 
BifbreTOPb_X_B B TOP X 
BifdenTOPz_X_B B TOP X 
BiflonTOPa_X_B B TOP X 
BiflonTOPb_X_B B TOP X 
Blasp.TOPz_X_B B TOP X 
BorafzTOPa_X_B B TOP X 
BorafzTOPb_X_B B TOP X 
BoraviTOPz_X_B B TOP X 
BorbisTOPz_M_B B TOP M 
BorbroTOPz_M_B B TOP M 
BorburTOPz_M_B B TOP M 
BordutTOPz_P_B B TOP P 
BorgarTOPz_M_B B TOP M 
BorherTOPz_M_B B TOP M 
BorparTOPz_M_B B TOP M 
BorperTOPz_X_B B TOP X 
BorpetTOPa_M_B B TOP M 
BorpetTOPb_M_B B TOP M 
BorpetTOPc_M_B B TOP M 
BorpetTOPd_M_B B TOP M 
BorrecTOPz_M_B B TOP M 
BorturTOPz_M_B B TOP M 
BradiaTOPz_X_B B TOP X 
BrafaeTOPz_X_B B TOP X 
BrahyoTOPz_M_B B TOP M 
BraintTOPz_X_B B TOP X 
BrajapTOPz_X_B B TOP X 
BramurTOPz_M_B B TOP M 
BrapilTOPz_X_B B TOP X 
Brasp.TOPz_X_B B TOP X 
BrebreTOPa_M_B B TOP M 
BrebreTOPb_M_B B TOP M 
BrebreTOPc_M_B B TOP M 
BresubTOPz_M_B B TOP M 
BruaboTOPz_X_B B TOP X 
BrucanTOPz_X_B B TOP X 
BrumelTOPz_X_B B TOP X 
BrumicTOPz_X_B B TOP X 
BruoviTOPz_M_B B TOP M 
BrusuiTOPz_X_B B TOP X 
BucaphTOPz_X_B B TOP X 
BurambTOPz_M_B B TOP M 
BurcenTOPz_X_B B TOP X 
BurglaTOPz_X_B B TOP X 
BurgluTOPa_M_B B TOP M 
BurgluTOPb_M_B B TOP M 
BurmalTOPz_X_B B TOP X 
BurmulTOPz_X_B B TOP X 
BphyE1TOPz_M_B B TOP M 
BurphyTOPz_M_B B TOP M 
BurpseTOPz_X_B B TOP X 
BurrhiTOPz_X_B B TOP X 
Bursp.TOPz_X_B B TOP X 
BurthaTOPz_X_B B TOP X 
BurvieTOPa_X_B B TOP X 
BurvieTOPb_X_B B TOP X 
BurxenTOPa_M_B B TOP M 
BurxenTOPb_M_B B TOP M 
ButfibTOPz_M_B B TOP M 
ButproTOPa_M_B B TOP M 
ButproTOPb_M_B B TOP M 
CaeeleTOPz_X_E E TOP X 
CalbesRGz_T_B B RG T 
CalbesTOPz_T_B B TOP T 
CalhydRGz_T_B B RG T 
CalhydTOPz_T_B B TOP T 
CalkriRGz_T_B B RG T 
CalkriTOPz_T_B B TOP T 
CalkroRGz_X_B B RG X 
CalkroTOPz_X_B B TOP X 
CallacRGz_T_B B RG T 
CallacTOPz_T_B B TOP T 
CalmaqRGz_T_A A RG T 
CalmaqTOPz_T_A A TOP T 
CalnitTOPz_T_B B TOP T 
CalobsRGz_T_B B RG T 
CalobsTOPz_T_B B TOP T 
CaloweRGz_T_B B RG T 
CaloweTOPz_T_B B TOP T 
CalsacRGz_T_B B RG T 
CalsacTOPz_T_B B TOP T 
CamconTOPz_X_B B TOP X 
CamcurTOPz_M_B B TOP M 
CamfetTOPz_X_B B TOP X 
CamhomTOPa_M_B B TOP M 
CamhomTOPb_M_B B TOP M 
CamjejTOPz_X_B B TOP X 
CamlarTOPz_X_B B TOP X 
CammedRGz_T_B B RG T 
CammedTOPz_T_B B TOP T 
CanArtTOPz_X_B B TOP X 
CanCalRGz_X_A A RG X 
CanCalTOPz_X_A A TOP X 
CanMetTOPz_X_B B TOP X 
CanNitTOPz_M_B B TOP M 
CanalbTOPz_X_E E TOP X 
CandubTOPz_X_E E TOP X 
CapcanTOPz_M_B B TOP M 
CapochTOPz_M_B B TOP M 
CarhydTOPz_T_B B TOP T 
Carsp.TOPa_X_B B TOP X 
Carsp.TOPb_X_B B TOP X 
Carsp.TOPc_X_B B TOP X 
CataciTOPz_M_B B TOP M 
CaucreTOPz_M_B B TOP M 
CausegTOPz_M_B B TOP M 
Causp.TOPz_M_B B TOP M 
CelalgTOPa_M_B B TOP M 
CelalgTOPb_M_B B TOP M 
CelfimTOPz_M_B B TOP M 
CelflaTOPz_M_B B TOP M 
CelgilTOPz_M_B B TOP M 
CeljapTOPz_M_B B TOP M 
CellenTOPa_X_B B TOP X 
CellenTOPb_X_B B TOP X 
CellenTOPc_X_B B TOP X 
CellytTOPa_X_B B TOP X 
CellytTOPb_X_B B TOP X 
ChipinTOPa_M_B B TOP M 
ChipinTOPb_M_B B TOP M 
ChlaboTOPz_X_B B TOP X 
ChlaetTOPz_X_E E TOP X 
ChlaggTOPz_T_B B TOP T 
ChlaurTOPz_T_B B TOP T 
ChlcavTOPz_M_B B TOP M 
ChlchlTOPz_M_B B TOP M 
ChlfelTOPz_M_B B TOP M 
ChllimTOPz_M_B B TOP M 
ChlmurTOPz_X_B B TOP X 
ChlparTOPz_M_B B TOP M 
ChlpecTOPz_X_B B TOP X 
ChlphaTOPz_M_B B TOP M 
CpneE1TOPz_X_B B TOP X 
ChlpneTOPz_M_B B TOP M 
CpsiE1TOPz_X_B B TOP X 
ChlpsiTOPz_X_B B TOP X 
ChltepTOPz_T_B B TOP T 
ChlthaTOPz_M_B B TOP M 
ChltheTOPz_X_B B TOP X 
ChltraTOPz_X_B B TOP X 
ChrsalTOPa_M_B B TOP M 
ChrsalTOPb_M_B B TOP M 
ChrvioTOPz_M_B B TOP M 
CitrodTOPa_M_B B TOP M 
CitrodTOPb_M_B B TOP M 
ClamicTOPz_M_B B TOP M 
CloaceTOPa_X_B B TOP X 
CloaceTOPb_X_B B TOP X 
CloaceTOPc_X_B B TOP X 
CloaciTOPz_X_B B TOP X 
ClobeiTOPa_M_B B TOP M 
ClobeiTOPb_M_B B TOP M 
ClobeiTOPc_M_B B TOP M 
ClobotTOPa_X_B B TOP X 
ClobotTOPb_X_B B TOP X 
ClobotTOPc_X_B B TOP X 
CcelE1TOPa_M_B B TOP M 
CcelE1TOPb_M_B B TOP M 
ClocelTOPa_M_B B TOP M 
ClocelTOPb_M_B B TOP M 
ClocelTOPc_M_B B TOP M 
Clocf.TOPa_M_B B TOP M 
Clocf.TOPb_M_B B TOP M 
Clocf.TOPc_M_B B TOP M 
Clocf.TOPd_M_B B TOP M 
Clocf.TOPe_M_B B TOP M 
CloclaTOPa_X_B B TOP X 
CloclaTOPb_X_B B TOP X 
ClodifTOPa_X_B B TOP X 
ClodifTOPb_X_B B TOP X 
ClodifTOPc_X_B B TOP X 
ClodifTOPd_X_B B TOP X 
ClodifTOPe_X_B B TOP X 
ClodifTOPf_X_B B TOP X 
ClogenTOPz_X_B B TOP X 
ClokluTOPa_M_B B TOP M 
ClokluTOPb_M_B B TOP M 
CloljuTOPa_M_B B TOP M 
CloljuTOPb_M_B B TOP M 
CloljuTOPc_M_B B TOP M 
ClonovTOPa_X_B B TOP X 
ClonovTOPb_X_B B TOP X 
ClonovTOPc_X_B B TOP X 
CloperTOPa_X_B B TOP X 
CloperTOPb_X_B B TOP X 
ClophyTOPa_M_B B TOP M 
ClophyTOPb_M_B B TOP M 
ClosacTOPa_M_B B TOP M 
ClosacTOPb_M_B B TOP M 
ClosacTOPc_M_B B TOP M 
ClosacTOPd_M_B B TOP M 
