prot_1 prot_2 force
AcibooRGz_T_A AcamarTOPa_M_B 20 
AcicelTOPz_T_B AcamarTOPb_M_B 20 
AciferTOPa_M_B AcicapTOPz_M_B 20 
AciferTOPc_M_B AciferTOPb_M_B 21 
AciferTOPz_T_B AcamarTOPb_M_B 20 
AciferTOPz_T_B AcicelTOPz_T_B 21 
AcihosRGa_X_A AcamarTOPa_M_B 20 
AcihosRGa_X_A AcibooRGz_T_A 21 
AcihosRGb_X_A AcamarTOPa_M_B 20 
AcihosRGb_X_A AcibooRGz_T_A 21 
AcihosRGb_X_A AcihosRGa_X_A 21 
AcisacRGz_T_A AcamarTOPa_M_B 20 
AcisacRGz_T_A AcibooRGz_T_A 21 
AcisacRGz_T_A AcihosRGa_X_A 21 
AcisacRGz_T_A AcihosRGb_X_A 21 
AcisacTOPz_T_A AcihosTOPz_X_A 21 
AerperRGa_T_A AcamarTOPa_M_B 20 
AerperRGa_T_A AcibooRGz_T_A 21 
AerperRGa_T_A AcihosRGa_X_A 21 
AerperRGa_T_A AcihosRGb_X_A 21 
AerperRGa_T_A AcisacRGz_T_A 21 
AerperRGb_T_A AcamarTOPa_M_B 20 
AerperRGb_T_A AcibooRGz_T_A 21 
AerperRGb_T_A AcihosRGa_X_A 21 
AerperRGb_T_A AcihosRGb_X_A 21 
AerperRGb_T_A AcisacRGz_T_A 21 
AerperRGb_T_A AerperRGa_T_A 21 
AerperTOPz_T_A AcihosTOPz_X_A 21 
AerperTOPz_T_A AcisacTOPz_T_A 21 
AersalTOPb_M_B AciferTOPb_M_B 21 
AersalTOPb_M_B AciferTOPc_M_B 21 
AkkmucTOPz_M_B AciferTOPb_M_B 21 
AkkmucTOPz_M_B AciferTOPc_M_B 21 
AkkmucTOPz_M_B AersalTOPb_M_B 21 
AlcborTOPz_M_B AersalTOPa_M_B 21 
AmicolTOPz_M_B AcicapTOPz_M_B 21 
AmicolTOPz_M_B AciferTOPa_M_B 20 
AnathmTOPz_X_B AcicapTOPz_M_B 20 
AnathmTOPz_X_B AciferTOPa_M_B 21 
AnathmTOPz_X_B AmicolTOPz_M_B 20 
AquaeoRGa_T_B AcamarTOPa_M_B 20 
AquaeoRGa_T_B AcibooRGz_T_A 21 
AquaeoRGa_T_B AcihosRGa_X_A 21 
AquaeoRGa_T_B AcihosRGb_X_A 21 
AquaeoRGa_T_B AcisacRGz_T_A 21 
AquaeoRGa_T_B AerperRGa_T_A 21 
AquaeoRGa_T_B AerperRGb_T_A 21 
AquaeoRGb_T_B AcamarTOPa_M_B 20 
AquaeoRGb_T_B AcibooRGz_T_A 21 
AquaeoRGb_T_B AcihosRGa_X_A 21 
AquaeoRGb_T_B AcihosRGb_X_A 21 
AquaeoRGb_T_B AcisacRGz_T_A 21 
AquaeoRGb_T_B AerperRGa_T_A 21 
AquaeoRGb_T_B AerperRGb_T_A 21 
AquaeoRGb_T_B AquaeoRGa_T_B 21 
AquaeoTOPz_T_B AcicapTOPz_M_B 21 
AquaeoTOPz_T_B AciferTOPa_M_B 20 
AquaeoTOPz_T_B AmicolTOPz_M_B 21 
AquaeoTOPz_T_B AnathmTOPz_X_B 20 
ArathaTOPc_M_E ArathaTOPb_M_E 21 
ArcfulRGz_T_A AcamarTOPa_M_B 20 
ArcfulRGz_T_A AcibooRGz_T_A 21 
ArcfulRGz_T_A AcihosRGa_X_A 21 
ArcfulRGz_T_A AcihosRGb_X_A 21 
ArcfulRGz_T_A AcisacRGz_T_A 21 
ArcfulRGz_T_A AerperRGa_T_A 21 
ArcfulRGz_T_A AerperRGb_T_A 21 
ArcfulRGz_T_A AquaeoRGa_T_B 21 
ArcfulRGz_T_A AquaeoRGb_T_B 21 
ArcfulTOPz_T_A AcibooTOPz_T_A 21 
ArcproRGz_T_A AcamarTOPa_M_B 20 
ArcproRGz_T_A AcibooRGz_T_A 21 
ArcproRGz_T_A AcihosRGa_X_A 21 
