nom_prot regne type milieu
ThenauRGz_X_A_W8NZH4 4 RGz Z 
BacbomTOPb_X_B_A0A02 2 TOP A 
BacbomTOPc_X_B_A0A02 2 TOP A 
BacbomTOPa_X_B_A0A02 2 TOP A 
AermedTOPa_X_B_A0A02 2 TOP A 
AermedTOPb_X_B_A0A02 2 TOP A 
CitfreTOPa_X_B_A0A02 2 TOP A 
CitfreTOPb_X_B_A0A02 2 TOP A 
RubradTOPa_X_B_A0A02 2 TOP A 
RubradTOPb_X_B_A0A02 2 TOP A 
PsemanTOPa_X_B_A0A02 2 TOP A 
PsemanTOPb_X_B_A0A02 2 TOP A 
Winsp.TOPb_X_B_A0A02 2 TOP A 
Winsp.TOPa_X_B_A0A02 2 TOP A 
PseknaTOPa_X_B_A0A02 2 TOP A 
PseknaTOPb_X_B_A0A02 2 TOP A 
StralbTOPz_X_B_A0A05 5 TOP A 
KossacTOPb_X_B_A0A05 5 TOP A 
HalcamTOPa_X_B_A0A06 6 TOP A 
HalcamTOPb_X_B_A0A06 6 TOP A 
RholacTOPz_X_B_A0A06 6 TOP A 
BaclehTOPb_X_B_A0A06 6 TOP A 
BaclehTOPc_X_B_A0A06 6 TOP A 
BaclehTOPa_X_B_A0A06 6 TOP A 
CombacTOPz_X_B_A0A06 6 TOP A 
MyccalTOPz_X_B_A0A06 6 TOP A 
MuchirTOPc_X_B_A0A06 6 TOP A 
MuchirTOPb_X_B_A0A06 6 TOP A 
MuchirTOPa_X_B_A0A06 6 TOP A 
AchocuTOPz_X_B_A0A06 6 TOP A 
ActschTOPz_X_B_A0A06 6 TOP A 
FimginTOPz_X_B_A0A06 6 TOP A 
XendouTOPa_X_B_A0A06 6 TOP A 
XendouTOPd_X_B_A0A06 6 TOP A 
XendouTOPb_X_B_A0A06 6 TOP A 
XendouTOPc_X_B_A0A06 6 TOP A 
XenpoiTOPb_X_B_A0A06 6 TOP A 
XenpoiTOPa_X_B_A0A06 6 TOP A 
NeogalTOPz_X_B_A0A06 6 TOP A 
DernisTOPz_X_B_A0A07 7 TOP A 
Virsp.TOPb_X_B_A0A07 7 TOP A 
Virsp.TOPa_X_B_A0A07 7 TOP A 
