Nombre de groupes :  6 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  0  proteines
0  NA NA 
0    
##############################################
# Groupe  1  -  79  proteines
1   1 AcamarTOPa_M_B 
1   3 AcibooRGz_T_A 
1   11 AcihosRGa_X_A 
1   12 AcihosRGb_X_A 
1   14 AcisacRGz_T_A 
1   16 AerperRGa_T_A 
1   17 AerperRGb_T_A 
1   25 AquaeoRGa_T_B 
1   26 AquaeoRGb_T_B 
1   31 ArcfulRGz_T_A 
1   33 ArcproRGz_T_A 
1   35 ArcvenRGz_T_A 
1   57 CalmaqRGz_T_A 
1   59 CalsacRGz_T_B 
1   62 CammedRGz_T_B 
1   81 Cyasp.TOPb_M_B 
1   89 DeskamRGa_T_A 
1   90 DeskamRGb_T_A 
1   92 DesmucRGa_T_A 
1   93 DesmucRGb_T_A 
1   100 DictheRGz_T_B 
1   111 FerplaRGz_M_A 
1   142 HelpylTOPa_M_B 
1   147 HypbutRGa_T_A 
1   148 HypbutRGb_T_A 
1   150 IgnaggRGa_T_A 
1   151 IgnaggRGb_T_A 
1   153 IgnhosRGa_T_A 
1   154 IgnhosRGb_T_A 
1   175 MesfloTOPz_M_B 
1   186 MetcupRGa_X_A 
1   187 MetcupRGb_X_A 
1   191 MetfeiRGz_T_A 
1   193 MetferRGz_T_A 
1   197 MetignRGz_X_A 
1   199 MetinfRGz_T_A 
1   202 MetjanRGz_T_A 
1   213 MetokiRGz_T_A 
1   220 MetsedRGa_T_A 
1   221 MetsedRGb_T_A 
1   224 Metsp.RGz_T_A 
1   233 MetvulRGz_T_A 
1   241 MycpneTOPz_M_B 
1   246 NauproRGz_M_B 
1   250 NeqRGz_T_A_NN 
1   254 Nitsp.RGz_T_B 
1   258 Nossp.TOPb_M_B 
1   275 PsefluTOPb_M_B 
1   277 Pybsp.RGz_X_A 
1   281 PyraerRGz_T_A 
1   283 PyrarsRGz_T_A 
1   285 PyrcalRGz_T_A 
1   287 PyrfumRGa_T_A 
1   288 PyrfumRGb_T_A 
1   294 PyrislRGz_T_A 
1   324 StahelRGa_T_A 
1   325 StahelRGb_T_A 
1   327 StamarRGa_T_A 
1   328 StamarRGb_T_A 
1   334 SulaciRGa_T_A 
1   335 SulaciRGb_T_A 
1   337 SulislRGa_T_A 
1   338 SulislRGb_T_A 
1   340 SulsolRGa_T_A 
1   341 SulsolRGb_T_A 
1   343 SultokRGa_T_A 
1   344 SultokRGb_T_A 
1   351 TheaggRGa_T_A 
1   352 TheaggRGb_T_A 
1   359 ThemarRGz_T_B 
1   361 TheneuRGz_T_A 
1   365 ThepenRGz_T_A 
1   371 Thesp.RGz_X_B 
1   374 ThetenRGz_T_B 
1   375 ThetenRGz_X_A 
1   379 ThethmRGz_T_B 
