Nombre de groupes :  11 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  0  proteines
0  NA NA 
0    
##############################################
# Groupe  1  -  126  proteines
1   1 AcamarTOPa_M_B 
1   2 AcamarTOPb_M_B 
1   5 AcicapTOPz_M_B 
1   6 AcicelTOPz_T_B 
1   7 AciferTOPa_M_B 
1   10 AciferTOPz_T_B 
1   19 AersalTOPa_M_B 
1   22 AlcborTOPz_M_B 
1   23 AmicolTOPz_M_B 
1   24 AnathmTOPz_X_B 
1   27 AquaeoTOPz_T_B 
1   28 ArathaTOPa_M_E 
1   39 ArtplaTOPz_M_B 
1   41 BacantTOPa_M_B 
1   44 BaccerTOPa_M_B 
1   47 BacfraTOPa_M_B 
1   51 BacsubTOPb_M_B 
1   52 BarbacTOPz_M_B 
1   53 BaucicTOPz_X_B 
1   54 BorburTOPz_M_B 
1   55 BruaboTOPz_M_B 
1   60 CalsacTOPz_T_B 
1   61 CamjejTOPz_M_B 
1   63 CammedTOPz_T_B 
1   66 ChlaurTOPz_T_B 
1   67 ChllimTOPz_M_B 
1   68 ChlpneTOPz_X_B 
1   69 ChrvioTOPz_M_B 
1   71 CloperTOPb_M_B 
1   74 ClotheTOPz_T_B 
1   75 CordipTOPz_M_B 
1   76 CoxburTOPz_M_B 
1   80 Cyasp.TOPa_M_B 
1   81 Cyasp.TOPb_M_B 
1   83 DehlykTOPz_M_B 
1   84 Dehsp.TOPz_M_B 
1   85 DeigeoTOPz_M_B 
1   86 DeiradTOPz_M_B 
1   87 DenaceTOPz_M_B 
1   88 DesindTOPz_X_B 
1   96 DesvulTOPz_M_B 
1   99 DicnodTOPz_M_B 
1   101 DictheTOPz_T_B 
1   105 DyaferTOPb_M_B 
1   106 EluminTOPz_M_B 
1   108 EryrhuTOPz_M_B 
1   109 EsccolTOPa_M_B 
1   115 FratulTOPz_M_B 
1   116 FusnucTOPa_M_B 
1   119 GemaurTOPz_M_B 
1   120 GeosulTOPz_M_B 
1   121 GeotheTOPa_T_B 
1   124 GlovioTOPa_M_B 
1   125 GlovioTOPb_M_B 
1   126 GraforTOPz_M_B 
1   127 HaeinfTOPa_M_B 
1   135 HaloreTOPz_T_B 
1   143 HelpylTOPb_M_B 
1   144 HeraurTOPz_M_B 
1   156 KinradTOPz_M_B 
1   157 LacaciTOPz_M_B 
1   158 LegpneTOPz_M_B 
1   168 LepborTOPz_M_B 
1   170 LismonTOPb_M_B 
1   172 MagmagTOPz_M_B 
1   174 Magsp.TOPb_X_B 
1   175 MesfloTOPz_M_B 
1   184 MetcapTOPz_T_B 
1   227 Metsp.TOPz_X_B 
1   237 MicaerTOPz_M_B 
1   242 MyctubTOPz_M_B 
1   245 NattheTOPz_T_B 
1   247 NauproTOPz_M_B 
