Nombre de groupes :  12 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  1  proteines
0  2255 ThenauRGz_X_A_W8NZH4 
##############################################
# Groupe  1  -  278  proteines
1   1 ThenauRGz_X_A_W8NZH4 
1   5 AermedTOPa_X_B_A0A02 
1   7 CitfreTOPa_X_B_A0A02 
1   12 PsemanTOPb_X_B_A0A02 
1   16 PseknaTOPb_X_B_A0A02 
1   19 HalcamTOPa_X_B_A0A06 
1   35 XendouTOPb_X_B_A0A06 
1   38 XenpoiTOPa_X_B_A0A06 
1   44 DyejapTOPz_X_B_A0A07 
1   51 AltausTOPz_X_B_A0A07 
1   67 AmymetTOPz_X_B_A0A07 
1   69 CanParTOPz_X_B_A0A07 
1   71 PsealkTOPa_X_B_A0A07 
1   83 PsemosTOPc_X_B_A0A08 
1   88 MolbacTOPz_X_B_A0A08 
1   101 Prosp.TOPz_M_B_A0A08 
1   102 CednetTOPb_X_B_A0A08 
1   104 PsecreTOPa_X_B_A0A08 
1   109 PserhiTOPa_X_B_A0A08 
1   111 AmylurTOPz_X_B_A0A09 
1   113 SphtaxTOPz_X_B_A0A09 
1   116 HafalvTOPa_M_B_A0A09 
1   128 PseparTOPa_X_B_A0A0A 
1   138 FriperTOPa_X_B_A0A0A 
1   146 CoxendTOPz_X_B_A0A0A 
1   164 ThaxiaTOPz_X_B_A0A0B 
1   171 PsebalTOPb_X_B_A0A0B 
1   178 PsepleTOPc_X_B_A0A0B 
1   182 YerfreTOPb_M_B_A0A0B 
1   186 AzochrTOPb_X_B_A0A0C 
1   197 Halsp.TOPa_X_B_A0A0D 
1   204 KlemicTOPa_X_B_A0A0D 
1   210 EdwpisTOPa_X_B_A0A0E 
1   211 PsechlTOPb_X_B_A0A0E 
1   220 PonkorTOPa_X_B_A0A0E 
1   221 SpiradTOPz_X_B_A0A0E 
1   226 KangeoTOPz_X_B_A0A0F 
1   234 EntcloTOPc_M_B_A0A0H 
1   236 AmymedTOPz_M_B_A0A0H 
1   241 Rahsp.TOPb_X_B_A0A0H 
1   243 EntaerTOPb_X_B_A0A0H 
1   245 KleoxyTOPb_M_B_A0A0H 
1   247 Pecsp.TOPd_X_B_A0A0H 
1   250 Synsp.TOPz_M_B_A0A0H 
1   255 SalbonTOPb_M_B_A0A0K 
1   260 ProstuTOPa_M_B_A0A14 
1   264 AerhydTOPb_M_B_A0KMV 
1   267 Shesp.TOPb_M_B_A0KVZ 
1   271 AcicelTOPz_t_B_A0LWD 
1   286 YerentTOPb_X_B_A1JPS 
1   291 SheamaTOPb_M_B_A1S57 
1   293 Nocsp.TOPz_M_B_A1SDN 
1   294 PsyingTOPb_P_B_A1SW7 
1   315 ShebalTOPb_M_B_A3D5H 
