Nombre de groupes :  15 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  0  proteines
0  NA NA 
0    
##############################################
# Groupe  1  -  85  proteines
1   1 AcamarTOPa_M_B 
1   8 AciferTOPb_M_B 
1   9 AciferTOPc_M_B 
1   20 AersalTOPb_M_B 
1   21 AkkmucTOPz_M_B 
1   28 ArathaTOPa_M_E 
1   29 ArathaTOPb_M_E 
1   30 ArathaTOPc_M_E 
1   37 AroaroTOPa_M_B 
1   38 AroaroTOPb_M_B 
1   42 BacantTOPb_M_B 
1   43 BacantTOPc_M_B 
1   45 BaccerTOPb_M_B 
1   46 BaccerTOPc_M_B 
1   48 BacfraTOPb_M_B 
1   49 BacfraTOPc_M_B 
1   50 BacsubTOPa_M_B 
1   56 CaeeleTOPz_M_E 
1   64 CanalbTOPz_M_E 
1   70 CloperTOPa_M_B 
1   72 CloperTOPc_M_B 
1   73 CloperTOPd_M_B 
1   78 CryneoTOPz_M_E 
1   79 CupnecTOPz_X_B 
1   81 Cyasp.TOPb_M_B 
1   82 DaucarTOPz_M_E 
1   95 DespsyTOPz_P_B 
1   97 DicdisTOPa_M_E 
1   98 DicdisTOPb_M_E 
1   102 DromelTOPa_M_E 
1   103 DromelTOPb_M_E 
1   104 DyaferTOPa_M_B 
1   107 EnccunTOPz_M_E 
1   113 FibsucTOPa_M_B 
1   114 FibsucTOPb_M_B 
1   117 FusnucTOPb_M_B 
1   118 GalgalTOPz_M_E 
1   122 GeotheTOPb_T_B 
1   123 GeotheTOPc_T_B 
1   125 GlovioTOPb_M_B 
1   128 HaeinfTOPb_M_B 
1   142 HelpylTOPa_M_B 
1   145 HomsapTOPa_M_E 
1   151 IgnaggRGb_T_A 
1   159 LeibraTOPa_M_E 
1   160 LeibraTOPb_M_E 
1   162 LeiinfTOPa_M_E 
1   163 LeiinfTOPb_M_E 
1   165 LeimajTOPa_M_E 
1   167 LeimajTOPc_M_E 
1   169 LismonTOPa_M_B 
1   173 Magsp.TOPa_X_B 
1   175 MesfloTOPz_M_B 
1   177 MetaceTOPb_M_A 
1   180 MetbarTOPb_M_A 
1   182 MetburTOPa_M_A 
1   188 MetcupTOPz_X_A 
1   190 MeteveTOPb_T_A 
1   201 MetinfTOPz_T_B 
1   204 MetkanTOPz_T_A 
1   206 MetmahTOPa_M_A 
1   212 MetmazTOPb_M_A 
1   222 MetsedTOPz_T_A 
1   236 MetzhiTOPb_X_A 
1   238 MusmusTOPa_M_E 
1   241 MycpneTOPz_M_B 
1   251 NeqT1z_T_A_NN 
1   252 NiteutTOPa_X_B 
1   253 NiteutTOPb_X_B 
1   258 Nossp.TOPb_M_B 
1   259 OpiterTOPa_M_B 
1   260 OpiterTOPb_M_B 
1   262 PedhepTOPa_M_B 
