Nombre de groupes :  100 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  1  proteines
0  1173 AT5G61660_135_residues_endo._reticulum 
##############################################
# Groupe  1  -  1  proteines
1   1 ATMG00990_120_residues_endo._reticulum 
##############################################
# Groupe  2  -  1065  proteines
2   2 AT1G51913_78_residues_endo._reticulum 
2   3 AT3G44115_116_residues_endo._reticulum 
2   4 AT4G18510_76_residues_endo._reticulum 
2   5 AT3G45275_115_residues_endo._reticulum 
2   6 AT3G01322_105_residues_endo._reticulum 
2   7 AT1G45215_116_residues_endo._reticulum 
2   8 AT2G02120_78_residues_endo._reticulum 
2   9 AT3G13437_71_residues_endo._reticulum 
2   10 AT1G65845_105_residues_endo._reticulum 
2   11 AT1G68795_119_residues_endo._reticulum 
2   12 AT2G14846_100_residues_endo._reticulum 
2   13 AT2G02498_109_residues_endo._reticulum 
2   14 AT5G58375_86_residues_endo._reticulum 
2   15 AT5G22875_70_residues_endo._reticulum 
2   17 AT1G77093_79_residues_endo._reticulum 
2   18 AT1G66145_102_residues_endo._reticulum 
2   19 AT5G39493_133_residues_endo._reticulum 
2   22 AT2G41415_75_residues_endo._reticulum 
2   23 AT3G49780_80_residues_endo._reticulum 
2   24 AT3G53980_115_residues_endo._reticulum 
2   26 AT4G10115_97_residues_endo._reticulum 
2   29 ATCG00440_121_residues_endo._reticulum 
2   30 AT1G77350_123_residues_endo._reticulum 
2   31 AT5G36720_88_residues_endo._reticulum 
2   32 AT5G36550_119_residues_endo._reticulum 
2   33 AT5G36190_146_residues_endo._reticulum 
2   35 AT3G07005_79_residues_endo._reticulum 
2   36 AT4G11760_97_residues_endo._reticulum 
2   37 AT1G14755_79_residues_endo._reticulum 
2   38 AT4G29548_72_residues_endo._reticulum 
2   41 AT4G10767_110_residues_endo._reticulum 
2   42 AT5G46877_88_residues_endo._reticulum 
2   43 AT1G34820_93_residues_endo._reticulum 
2   44 AT3G09735_74_residues_endo._reticulum 
2   45 AT5G48490_102_residues_endo._reticulum 
2   46 AT4G20420_143_residues_endo._reticulum 
2   47 AT3G61177_76_residues_endo._reticulum 
2   48 AT2G19045_73_residues_endo._reticulum 
2   49 AT4G29103_71_residues_endo._reticulum 
2   50 AT1G55546_132_residues_endo._reticulum 
2   51 AT1G12090_138_residues_endo._reticulum 
2   52 AT3G03160_131_residues_endo._reticulum 
2   53 AT5G40980_70_residues_endo._reticulum 
2   54 AT1G62510_150_residues_endo._reticulum 
2   55 AT1G15757_84_residues_endo._reticulum 
2   56 AT5G15000_99_residues_endo._reticulum 
2   57 AT2G31940_121_residues_endo._reticulum 
2   58 AT2G05335_102_residues_endo._reticulum 
2   61 AT1G24520_120_residues_endo._reticulum 
2   62 AT4G40042_94_residues_endo._reticulum 
