Nombre de groupes :  201 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  403  proteines
0  3 AT3G44115_116_residues_endo._reticulum 
0  5 AT3G45275_115_residues_endo._reticulum 
0  11 AT1G68795_119_residues_endo._reticulum 
0  13 AT2G02498_109_residues_endo._reticulum 
0  14 AT5G58375_86_residues_endo._reticulum 
0  19 AT5G39493_133_residues_endo._reticulum 
0  22 AT2G41415_75_residues_endo._reticulum 
0  23 AT3G49780_80_residues_endo._reticulum 
0  30 AT1G77350_123_residues_endo._reticulum 
0  37 AT1G14755_79_residues_endo._reticulum 
0  38 AT4G29548_72_residues_endo._reticulum 
0  43 AT1G34820_93_residues_endo._reticulum 
0  46 AT4G20420_143_residues_endo._reticulum 
0  47 AT3G61177_76_residues_endo._reticulum 
0  50 AT1G55546_132_residues_endo._reticulum 
0  52 AT3G03160_131_residues_endo._reticulum 
0  54 AT1G62510_150_residues_endo._reticulum 
0  55 AT1G15757_84_residues_endo._reticulum 
0  56 AT5G15000_99_residues_endo._reticulum 
0  58 AT2G05335_102_residues_endo._reticulum 
0  61 AT1G24520_120_residues_endo._reticulum 
0  62 AT4G40042_94_residues_endo._reticulum 
0  67 AT3G27027_70_residues_endo._reticulum 
0  68 AT2G47200_89_residues_endo._reticulum 
0  69 AT5G36662_119_residues_endo._reticulum 
0  72 AT1G66850_103_residues_endo._reticulum 
0  73 AT2G41997_90_residues_endo._reticulum 
0  74 AT5G44568_76_residues_endo._reticulum 
0  75 AT4G09090_117_residues_endo._reticulum 
0  78 AT2G05117_91_residues_endo._reticulum 
0  79 AT5G19800_97_residues_endo._reticulum 
0  95 AT1G68760_148_residues_endo._reticulum 
0  101 AT1G51915_68_residues_endo._reticulum 
0  102 AT4G30050_134_residues_endo._reticulum 
0  103 AT3G05730_87_residues_endo._reticulum 
0  111 AT3G01230_127_residues_endo._reticulum 
0  117 AT5G09520_131_residues_endo._reticulum 
0  119 AT3G11825_101_residues_endo._reticulum 
0  131 AT5G54225_83_residues_endo._reticulum 
0  132 AT4G27654_68_residues_endo._reticulum 
0  133 AT1G02405_135_residues_endo._reticulum 
0  135 AT5G66815_106_residues_endo._reticulum 
0  137 AT1G21864_94_residues_endo._reticulum 
0  144 AT1G34840_88_residues_endo._reticulum 
0  147 ATMG00650_101_residues_endo._reticulum 
0  150 AT1G63057_117_residues_endo._reticulum 
0  156 AT3G44735_82_residues_endo._reticulum 
0  170 AT3G57850_91_residues_endo._reticulum 
0  171 AT3G24065_136_residues_endo._reticulum 
0  175 AT1G34830_93_residues_endo._reticulum 
0  178 AT1G11850_109_residues_endo._reticulum 
0  180 AT1G12665_90_residues_endo._reticulum 
0  182 AT4G22513_116_residues_endo._reticulum 
