Nombre de groupes :  23 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  7  proteines
0  28 ArathaTOPa_M_E 
0  53 BaucicTOPz_X_B 
0  54 BorburTOPz_M_B 
0  70 CloperTOPa_M_B 
0  175 MesfloTOPz_M_B 
0  265 PictorTOPz_T_A 
0  366 ThepenTOPz_T_A 
##############################################
# Groupe  1  -  61  proteines
1   1 AcamarTOPa_M_B 
1   3 AcibooRGz_T_A 
1   11 AcihosRGa_X_A 
1   12 AcihosRGb_X_A 
1   14 AcisacRGz_T_A 
1   16 AerperRGa_T_A 
1   17 AerperRGb_T_A 
1   25 AquaeoRGa_T_B 
1   26 AquaeoRGb_T_B 
1   31 ArcfulRGz_T_A 
1   33 ArcproRGz_T_A 
1   35 ArcvenRGz_T_A 
1   57 CalmaqRGz_T_A 
1   59 CalsacRGz_T_B 
1   62 CammedRGz_T_B 
1   81 Cyasp.TOPb_M_B 
1   89 DeskamRGa_T_A 
1   90 DeskamRGb_T_A 
1   92 DesmucRGa_T_A 
1   93 DesmucRGb_T_A 
1   100 DictheRGz_T_B 
1   111 FerplaRGz_M_A 
1   142 HelpylTOPa_M_B 
1   147 HypbutRGa_T_A 
1   148 HypbutRGb_T_A 
1   150 IgnaggRGa_T_A 
1   151 IgnaggRGb_T_A 
1   153 IgnhosRGa_T_A 
1   154 IgnhosRGb_T_A 
1   186 MetcupRGa_X_A 
1   187 MetcupRGb_X_A 
1   191 MetfeiRGz_T_A 
1   220 MetsedRGa_T_A 
1   221 MetsedRGb_T_A 
1   246 NauproRGz_M_B 
1   250 NeqRGz_T_A_NN 
1   254 Nitsp.RGz_T_B 
1   258 Nossp.TOPb_M_B 
1   287 PyrfumRGa_T_A 
1   288 PyrfumRGb_T_A 
1   324 StahelRGa_T_A 
1   325 StahelRGb_T_A 
1   327 StamarRGa_T_A 
1   328 StamarRGb_T_A 
1   334 SulaciRGa_T_A 
1   335 SulaciRGb_T_A 
1   337 SulislRGa_T_A 
1   338 SulislRGb_T_A 
1   340 SulsolRGa_T_A 
1   341 SulsolRGb_T_A 
1   343 SultokRGa_T_A 
1   344 SultokRGb_T_A 
1   351 TheaggRGa_T_A 
1   352 TheaggRGb_T_A 
1   359 ThemarRGz_T_B 
1   365 ThepenRGz_T_A 
1   371 Thesp.RGz_X_B 
1   374 ThetenRGz_T_B 
1   379 ThethmRGz_T_B 
1   395 VuldisRGz_T_A 
1   397 VulmouRGz_X_A 
##############################################
# Groupe  2  -  21  proteines
2   2 AcamarTOPb_M_B 
2   6 AcicelTOPz_T_B 
2   10 AciferTOPz_T_B 
2   39 ArtplaTOPz_M_B 
2   75 CordipTOPz_M_B 
2   80 Cyasp.TOPa_M_B 
2   85 DeigeoTOPz_M_B 
