Nombre de groupes :  10 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  41  proteines
0  363 TheonnRGz_T_A 
0  364 TheonnTOPz_T_A 
0  365 ThepenRGz_T_A 
0  366 ThepenTOPz_T_A 
0  367 TherosTOPz_T_B 
0  368 ThesibRGz_T_A 
0  369 ThesibTOPz_T_A 
0  370 Thesp.RGz_T_A 
0  371 Thesp.RGz_X_B 
0  372 Thesp.TOPz_T_A 
0  373 Thesp.TOPz_X_B 
0  374 ThetenRGz_T_B 
0  375 ThetenRGz_X_A 
0  376 ThetenTOPz_T_B 
0  377 ThetenTOPz_X_A 
0  378 TheterTOPz_T_B 
0  379 ThethmRGz_T_B 
0  380 ThethmTOPz_T_B 
0  381 TheuzoRGz_X_A 
0  382 TheuzoTOPz_X_A 
0  383 ThevolTOPz_T_A 
0  384 TheyelTOPz_T_B 
0  385 ThidenTOPz_M_B 
0  386 TrepalTOPz_M_B 
0  387 TrieryTOPz_X_B 
0  388 UncmetTOPa_X_A 
0  389 UncmetTOPb_X_A 
0  390 UstmayTOPz_M_E 
0  391 VeiparTOPa_M_B 
0  392 VeiparTOPb_M_B 
0  393 VibchoTOPa_M_B 
0  394 VibchoTOPb_M_B 
0  395 VuldisRGz_T_A 
0  396 VuldisTOPz_T_A 
0  397 VulmouRGz_X_A 
0  398 VulmouTOPz_X_A 
0  399 XanoryTOPz_M_B 
0  400 XenlaeTOPz_M_E 
0  401 YerpesTOPa_M_B 
0  402 YerpesTOPb_M_B 
0  403 ZymmobTOPz_M_B 
##############################################
# Groupe  1  -  70  proteines
1   1 AcamarTOPa_M_B 
1   3 AcibooRGz_T_A 
1   9 AciferTOPc_M_B 
1   10 AciferTOPz_T_B 
1   12 AcihosRGb_X_A 
1   13 AcihosTOPz_X_A 
1   14 AcisacRGz_T_A 
1   22 AlcborTOPz_M_B 
1   23 AmicolTOPz_M_B 
1   26 AquaeoRGb_T_B 
1   28 ArathaTOPa_M_E 
1   30 ArathaTOPc_M_E 
1   48 BacfraTOPb_M_B 
1   66 ChlaurTOPz_T_B 
1   74 ClotheTOPz_T_B 
1   75 CordipTOPz_M_B 
1   77 CrigriTOPz_M_E 
1   78 CryneoTOPz_M_E 
1   84 Dehsp.TOPz_M_B 
1   93 DesmucRGb_T_A 
1   121 GeotheTOPa_T_B 
1   126 GraforTOPz_M_B 
1   127 HaeinfTOPa_M_B 
1   129 HalborTOPz_H_A 
1   130 HalhisTOPz_H_A 
1   132 HallacTOPz_M_A 
1   133 HalmarTOPz_M_A 
1   162 LeiinfTOPa_M_E 
1   163 LeiinfTOPb_M_E 
1   167 LeimajTOPc_M_E 
1   171 MacmulTOPz_M_E 
1   173 Magsp.TOPa_X_B 
1   176 MetaceTOPa_M_A 
