Nombre de groupes :  10 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  1  proteines
0  2255 ThenauRGz_X_A_W8NZH4 
##############################################
# Groupe  1  -  172  proteines
1   1 ThenauRGz_X_A_W8NZH4 
1   2 BacbomTOPb_X_B_A0A02 
1   18 KossacTOPb_X_B_A0A05 
1   21 RholacTOPz_X_B_A0A06 
1   54 BrelatTOPc_X_B_A0A07 
1   56 AmyjapTOPz_X_B_A0A07 
1   57 ThecomE1RGz_T_B_A0A0 
1   60 BacdorTOPf_X_B_A0A07 
1   87 TreputTOPz_X_B_A0A08 
1   88 MolbacTOPz_X_B_A0A08 
1   99 PaesteTOPa_X_B_A0A08 
1   103 CednetTOPa_X_B_A0A08 
1   117 LegfalTOPz_X_B_A0A09 
1   132 DeiswuTOPz_X_B_A0A0A 
1   147 MycfloTOPz_X_B_A0A0A 
1   158 Plasp.TOPc_X_B_A0A0B 
1   161 RhigalTOPz_X_B_A0A0B 
1   164 ThaxiaTOPz_X_B_A0A0B 
1   172 CorhumTOPz_X_B_A0A0B 
1   179 MyrproTOPb_X_B_A0A0B 
1   202 KlemicTOPb_X_B_A0A0D 
1   210 EdwpisTOPa_X_B_A0A0E 
1   225 CitamaTOPa_X_B_A0A0F 
1   229 BurmalTOPz_M_B_A0A0H 
1   232 RicricTOPz_M_B_A0A0H 
1   238 BacatrTOPb_M_B_A0A0H 
1   245 KleoxyTOPb_M_B_A0A0H 
1   294 PsyingTOPb_P_B_A1SW7 
1   296 MycvanTOPz_M_B_A1TG6 
1   298 AcicitTOPb_M_B_A1TW2 
1   309 HalhalE1TOPz_X_B_A1W 
1   316 ShebalTOPa_M_B_A3D66 
1   331 DesredTOPd_M_B_A4J35 
1   399 BaccytTOPc_M_B_A7GRG 
1   408 XanautTOPz_M_B_A7IM9 
1   413 CamconTOPz_X_B_A7ZFR 
1   419 BacpumTOPb_M_B_A8FA2 
1   420 BacpumTOPa_M_B_A8FD7 
1   421 ShesedTOPb_P_B_A8FTU 
1   429 ShepeaTOPb_M_B_A8H31 
1   438 HeraurTOPz_M_B_A9AYY 
1   466 Causp.TOPz_M_B_B0T0I 
1   472 Metsp.E1TOPb_M_B_B0U 
1   522 PhezucTOPz_M_B_B4R96 
1   554 DicturRGz_t_B_B8DYH3 
1   555 DicturTOPz_t_B_B8E2F 
1   556 MetsilTOPz_M_B_B8EMQ 
1   583 CalbesRGz_t_B_B9MRC8 
1   588 BrahyoTOPz_M_B_C0QYG 
1   602 AcicapTOPz_M_B_C1F6V 
1   604 BacpseTOPc_M_B_C3BJ7 
1   613 TolaueTOPa_M_B_C4LEI 
1   615 DesmagTOPz_X_B_C4XSH 
1   616 RicendTOPz_X_B_C4YUC 
